policy,game_id,game_ts,entry_ts,side,edge,kelly_f,cap_pct_used,wager_kelly,wager_post_portfolio,rolling_cap,cumulative_cap,allowed_dollars,wager,n_contracts,fill_pct,entry_px_actual,binding,visible_pool,recent_pool,cumulative_pool,fee,pnl,won,bankroll,bankroll_before
phase_10k_then_12,d300ee86-e2e0-4bf4-9247-1d7a3a859e07,2025-08-06 02:00:00+00:00,2025-08-05 07:00:00+00:00,NO,0.08956348419189453,0.10294653355390175,0.12,775.9908367249144,775.9908367249144,55.5105,111.021,55.5105,55.5105,531.0954545454545,1.0,0.10452075898015253,rolling_liq,370.07,370.07,370.07,3.48,-58.9905,0,15016.618360955255,15075.608860955255
phase_10k_then_12,0934f4d6-98dc-4543-b6bd-c04adfa95bf2,2025-08-08 02:00:00+00:00,2025-08-07 07:00:00+00:00,NO,0.14108287811279296,0.2275530292141822,0.12,1708.5384982943378,1708.5384982943378,302.169,604.338,302.169,302.169,839.3583333333333,1.0,0.36,rolling_liq,2014.4599999999998,2014.4599999999998,2014.4599999999998,13.54,-315.709,0,14700.909360955255,15016.618360955255
phase_10k_then_12,042c5181-7425-497a-8593-922c0cccfc16,2025-08-08 02:00:00+00:00,2025-08-07 07:00:00+00:00,NO,0.10052478075027471,0.12410466759293173,0.12,912.2257347775852,912.2257347775852,178.1985,356.397,178.1985,178.1985,1048.226470588235,1.0,0.17000000000000004,rolling_liq,1187.99,1187.99,1187.99,10.36,-188.55849999999998,0,14512.350860955255,14700.909360955255
phase_10k_then_12,25596e43-21b0-4411-b093-a5ca0b6480d6,2025-08-09 02:00:00+00:00,2025-08-08 07:30:00+00:00,YES,0.13616769552230834,0.2778932561679762,0.12,2016.4422177014944,1741.4821033146306,341.1405,679.782,341.1405,341.1405,696.2051020408164,1.0,0.4899999999999999,rolling_liq,2274.27,2274.27,2265.94,12.18,342.88460204081645,1,14855.235462996072,14512.350860955255
phase_10k_then_12,3a283716-466b-440c-a344-5994da2e16aa,2025-08-10 00:30:00+00:00,2025-08-09 13:15:00+00:00,YES,0.124353095293045,0.1943017113953828,0.12,1443.1988368207592,1443.1988368207592,3395.0819999999994,6622.331999999999,1443.1988368207592,1443.1988368207592,4170.996676630741,1.0,0.3460081483417892,kelly,22633.879999999997,22633.879999999997,22074.44,66.07,2661.727839809981,1,17516.963302806053,14855.235462996072
phase_10k_then_12,2de72b4c-3c39-42c4-8321-18efac227563,2025-08-10 16:30:00+00:00,2025-08-10 02:30:00+00:00,NO,0.28335612535476684,0.4570260086367207,0.12,4002.8539108586792,2102.035596336726,424.6979999999999,840.7379999999999,424.6979999999999,424.6979999999999,1147.8324324324321,1.0,0.37000000000000005,rolling_liq,2831.3199999999997,2831.3199999999997,2802.46,18.73,704.4044324324323,1,18221.367735238484,17516.963302806053
phase_10k_then_12,56ef45bc-fa3c-47bb-926c-8b9f8433bdb6,2025-08-10 20:00:00+00:00,2025-08-10 04:30:00+00:00,NO,0.146348443031311,0.24804820852764578,0.12,2259.888811824676,2186.564128228618,1536.5249999999999,3072.699,1536.5249999999999,1536.5249999999999,3906.4874999999997,1.0,0.3933264857496664,rolling_liq,10243.5,10243.5,10242.33,65.26,2304.7024999999994,1,20526.070235238483,18221.367735238484
phase_10k_then_12,2eb1473f-e48b-4a13-bb64-bb3604b03c6d,2025-08-10 22:00:00+00:00,2025-08-10 12:00:00+00:00,NO,0.13645145893096922,0.22741909821828205,0.12,2334.0101914315283,2334.0101914315283,3091.3319999999994,6182.312999999999,2334.0101914315283,2334.0101914315283,6521.361642865357,1.0,0.35790227858089013,kelly,20607.71,20608.879999999997,20607.71,104.91,4082.4414514338287,1,24608.51168667231,20526.070235238483
phase_10k_then_12,4b134f76-aff1-49fb-b585-3e9073eb44c2,2025-08-14 02:00:00+00:00,2025-08-13 08:00:00+00:00,NO,0.21488385438919066,0.4385384783452871,0.12,5395.889634707744,2953.0214024006773,1253.5964999999999,2501.493,1253.5964999999999,1253.5964999999999,2995.6107142857136,1.0,0.41847777283668613,rolling_liq,8338.31,8357.31,8338.31,51.03,1690.9842142857137,1,26299.495900958023,24608.51168667231
phase_10k_then_12,74f4d3c6-f105-49b3-bb25-ee57ac47d235,2025-08-13 23:30:00+00:00,2025-08-13 11:45:00+00:00,NO,0.12422191977500918,0.2343809807075645,0.12,3082.050820690557,3082.050820690557,1435.8765000000003,1876.4339999999997,1435.8765000000003,1435.8765000000003,3190.8366666666675,1.0,0.44999999999999996,rolling_liq,6254.78,9572.510000000002,6254.78,55.29,1699.6701666666672,1,27999.16606762469,26299.495900958023
