game_id,game_ts_static,entry_ts_static,side_static,edge_static,entry_px_static,p_side_static,wager_static,n_contracts_static,entry_px_actual_static,won_static,pnl_static,wager_dynamic,n_contracts_dynamic,entry_px_actual_dynamic,won_dynamic,pnl_dynamic,n_pause_events_dynamic,n_resume_events_dynamic,fill_ratio_vs_qmax_dynamic
45eb60bf-a1b9-4f49-90cb-62097ff47bbd,2025-06-06 02:00:00+00:00,2025-06-05 13:00:00+00:00,NO,0.1447575712203979,0.31000000000000005,0.45475757122039795,331.97694219257994,1158.920490319241,0.28645359622654715,0,-348.5669421925799,315.01227292539926,1048.4026897221456,0.30046877598996413,0.0,-330.44227292539927,58.0,3.0,1.199604521027274
467aedcd-fa42-4992-9a69-fce47d1ece15,2025-08-28 00:00:00+00:00,2025-08-27 16:00:00+00:00,NO,0.15859810590744017,0.52,0.6785981059074402,5144.009999999999,9984.0,0.515225360576923,1,4665.43,4547.050000000001,8836.0,0.5146050248981441,1.0,4134.449999999999,0.0,0.0,0.3933068554356019
473b6ccd-bea1-4377-b656-99e755056013,2025-07-09 16:00:00+00:00,2025-07-09 02:00:00+00:00,NO,0.21722968339920046,0.22999999999999998,0.44722968339920044,168.95999999999998,768.0,0.21999999999999997,1,589.81,168.95999999999998,768.0,0.21999999999999997,1.0,589.81,0.0,0.0,0.11532803880473068
475cc53b-e563-4217-a5dc-930581369bab,2025-06-29 22:00:00+00:00,2025-06-29 05:30:00+00:00,NO,0.07646610498428341,0.29000000000000004,0.36646610498428345,412.4433477555376,1438.632233639785,0.28669130171791224,1,1005.5888858842474,368.3778806286459,1270.2685538918824,0.29000000000000004,1.0,883.5806732632366,0.0,0.0,1.0000000000000009
4a60d4ef-8d10-4f25-bab6-346332242fd5,2025-06-10 23:30:00+00:00,2025-06-10 12:15:00+00:00,NO,0.12558921575546267,0.35,0.47558921575546265,666.586309569542,2019.9585138470968,0.33,0,-697.856309569542,712.6348577848719,2128.196538742036,0.3348538750119883,0.0,-745.8248577848719,41.0,0.0,1.1755148704007266
4a8a3c5a-81ad-462c-b4cb-3300d1eea8c3,2025-10-09 00:00:00+00:00,2025-10-07 11:00:00+00:00,NO,0.16387164235115048,0.41000000000000003,0.5738716423511505,5677.23971290411,15399.945170011106,0.36865324195826443,1,9471.795457106997,7175.2808616161765,18413.102354629158,0.3896834288661992,1.0,10931.271493012982,576.0,8.0,1.2658823789493656
4b134f76-aff1-49fb-b585-3e9073eb44c2,2025-08-14 02:00:00+00:00,2025-08-13 08:00:00+00:00,NO,0.21488385438919066,0.51,0.7248838543891907,6617.147985290482,15004.386924544526,0.4410142192791628,1,8128.308939254042,8338.310000000003,18671.0,0.4465915055433562,1.0,10009.669999999996,0.0,0.0,1.3205022065462735
4bfeb202-768f-487c-a416-9c9a314242a6,2025-06-25 00:00:00+00:00,2025-06-24 06:15:00+00:00,YES,0.08991959929466248,0.31,0.3999195992946625,4.65,15.0,0.31,1,10.12,4.65,15.000000000000002,0.31,1.0,10.120000000000001,0.0,0.0,0.01589055062813347
4d8cf7bd-df70-42d4-a4fd-14a6fcb736a9,2025-07-24 23:00:00+00:00,2025-07-24 12:45:00+00:00,YES,0.11587374210357665,0.45,0.5658737421035767,1074.3163792255307,2428.480842723401,0.442382068791923,1,1312.2244634978704,914.8593794625563,2035.9182360489174,0.4493595878575228,1.0,1085.7888565863611,38.0,0.0,1.0684231135201623
4e456309-00d3-4582-8f89-1c9049054791,2025-06-27 23:30:00+00:00,2025-06-27 12:30:00+00:00,NO,0.12750528216362,0.49,0.61750528216362,688.9700823610114,1488.6384731085348,0.46281894147362895,1,773.7583907475234,705.0627982053034,1517.5591451176667,0.464603175746824,1.0,786.0663469123634,19.0,0.0,1.1740527455507552
4f5eef0b-7151-49c4-bc34-46d08d1e5ca1,2025-06-18 02:00:00+00:00,2025-06-17 12:30:00+00:00,YES,0.15919422030448907,0.23,0.3891942203044891,583.5841267616529,2537.5396815724034,0.22998029587463675,0,-615.0441267616529,485.63572155062076,2111.6335719592207,0.22998105731954105,0.0,-511.81572155062076,0.0,0.0,1.0000823662638991
50578d4e-21ed-488c-ac01-1008b9b70e0d,2025-07-31 23:30:00+00:00,2025-07-31 05:45:00+00:00,NO,0.1513962113857269,0.41000000000000003,0.5613962113857269,1521.436083736859,4354.160239248168,0.34942124316480483,1,2763.434155511309,1904.3210894290032,5027.553703394788,0.3787768767428851,1.0,3040.412613965784,105.0,2.0,1.4150234972753737
548df81e-2319-4153-a4df-bf65932d74be,2025-07-27 23:00:00+00:00,2025-07-27 06:00:00+00:00,NO,0.06239434003829958,0.22999999999999998,0.29239434003829956,0.21,1.0,0.21,1,0.77,0.21,1.0,0.21,1.0,0.77,0.0,0.0,0.0006176326427768286
56ef45bc-fa3c-47bb-926c-8b9f8433bdb6,2025-08-10 20:00:00+00:00,2025-08-10 04:30:00+00:00,NO,0.146348443031311,0.41000000000000003,0.556348443031311,3024.3974115298925,7613.432711048518,0.39724491255316735,1,4461.425299518626,3141.7783381509958,7727.241640675046,0.4065847147335401,1.0,4454.953302524051,37.0,2.0,1.1563163180216718
57909126-867a-49a0-bc68-8c65ff35b9dd,2025-06-20 02:00:00+00:00,2025-06-19 13:45:00+00:00,YES,0.23086082577705377,0.16,0.3908608257770538,315.12000000000006,1978.0,0.1593124368048534,1,1644.33,314.96000000000004,1977.0,0.15931208902377342,1.0,1643.5,0.0,0.0,0.6490711428503171
585740b6-3c8b-4746-8808-e7635a88c710,2025-07-27 20:00:00+00:00,2025-07-27 04:15:00+00:00,YES,0.09930047273635859,0.22,0.3193004727363586,222.42000000000002,1011.0,0.22000000000000003,0,-234.57000000000002,33.0,150.0,0.22,0.0,-34.81,0.0,0.0,0.05619172967883008
5cc2b6cf-49a3-4f54-a14e-88d92bf3ac7a,2025-06-20 23:30:00+00:00,2025-06-20 06:00:00+00:00,YES,0.19484763860702514,0.38,0.5748476386070251,899.7686651452178,2558.996392284373,0.3516099779812544,0,-940.6086651452179,871.1310205050113,2473.1651134860876,0.3522332640690921,0.0,-910.6410205050113,40.0,1.0,1.1523923926061304
5e1d090c-1c51-494b-8c1f-1f1ba520ee2a,2025-06-10 02:00:00+00:00,2025-06-09 12:30:00+00:00,NO,0.24757077574729924,0.31999999999999995,0.5675707757472992,831.6865810112072,2970.3092178971683,0.28,1,2096.702636885961,881.0223753531352,3072.4013405469127,0.28675367495976484,1.0,2147.388965193778,50.0,0.0,1.2242293118597283
5e64c14b-9cf3-45d2-bd9d-f0af702d801f,2025-07-16 19:00:00+00:00,2025-07-16 07:00:00+00:00,NO,0.1349456548690796,0.35,0.4849456548690796,978.5139971541151,3183.7548295294037,0.30734590115996807,0,-1025.963997154115,1124.636149032231,3347.0279576348,0.33601038391892096,0.0,-1176.916149032231,106.0,5.0,1.3256103593214688
5f3d74e1-8cdd-4616-aedf-f1e90dc75db0,2025-05-27 23:00:00+00:00,2025-05-27 05:45:00+00:00,NO,0.0740113401412964,0.10999999999999999,0.1840113401412964,104.50199097870458,1499.5998711243512,0.06968658306188863,0,-111.31199097870459,200.8645467796958,2861.636382567083,0.07019219772412405,0.0,-213.9445467796958,16.0,3.0,2.3255415892831786
639e72ff-50dd-401b-a2a8-dd49fdd02b89,2025-06-08 02:00:00+00:00,2025-06-07 12:15:00+00:00,YES,0.13786698698997496,0.33,0.467866986989975,581.7362651337228,1817.9258285428837,0.32,0,-609.4362651337228,541.3176085109102,1687.6175265965944,0.3207584656948789,0.0,-567.0576085109102,34.0,0.0,1.0872080055056201
