draw,terminal_wealth_ideal,terminal_wealth_constrained
210,23458.071954395265,47849.38648938704
211,22085.15589346448,4292.084467886344
212,10953.815379765787,2723.046404103516
213,716883.9179432469,127931.29234612666
214,109765.38377721807,222399.8867137954
215,33108.531891853614,19714.601028551937
216,25853.736319381656,25330.10868139377
217,78181.3933560066,79279.6442621021
218,41703.06572034232,82028.36144876169
219,50761.3397497501,85500.45550600733
220,226750.4573982606,222798.1594955144
221,12798.654660316783,70392.92412277857
222,739599.3153184786,419668.8850922907
223,196373.14718246274,179468.41586248876
224,190746.70705333556,86076.91078568916
225,9586.649583439763,10988.690750013819
226,109617.54784640495,91471.69933275734
227,34332.61807133194,45766.66719592482
228,119488.15860271612,172238.73135392228
229,3083.442016074298,22362.07963419457
230,451817.00775745354,122639.97266196675
231,45451.021629479044,12652.390584802644
232,91422.57659216214,46932.14907954737
233,922.2862409376543,8565.595508150931
234,9138.147033833744,37815.695813779435
235,323786.17789860524,146946.21084978283
236,549575.8433715383,679473.7354359106
237,18731.916545625514,26374.353410124088
238,6804.267493458183,6043.187204427061
239,17470.530551192238,72780.27313597914
240,2600.006587615102,2207.9228763536025
241,169523.48767971175,474659.1450250948
242,5146.233037126151,24883.91643468446
243,76538.00782184962,82530.36433217647
244,127471.2920415372,75902.13895124271
245,525587.620751727,331186.5323678412
246,22056.833734710857,9512.144210379864
247,7336.905675012445,9828.952697742077
248,30695.34828286562,24252.007658407176
249,108995.3666493543,84334.82746567557
250,148825.41907951594,122073.53600136605
251,21970.113219506296,22732.230237109514
252,28571.430155598166,20264.435551928644
253,120006.10266202237,96324.89713270754
254,4150.3365661336875,5463.980097493139
255,42517.018633690226,35537.59685685507
256,6559.229141981522,7518.409728244358
257,25373.948279662847,15699.094596615865
258,8334.35399495742,15112.437999113281
259,26863.564836424528,72567.61836370676
260,12796.979362699421,6658.188281394296
261,226981.53582867296,89213.91470076215
262,107839.79848910375,41377.06795569198
263,23774.452377838705,113163.15575809906
264,272130.9983968516,90122.26080100707
265,44568.47226710729,78339.41278123928
266,3274559.232747929,2102264.6455102847
267,2706478.1629744857,518148.09380544495
268,14376.360604607235,7474.197835608058
269,29640.991733465173,36323.68581538054
270,158112.79204010163,990464.261146149
271,33370.96173234252,25452.014601704865
272,262803.1853357243,94487.27239674707
273,3631297.296172471,130175.95715122714
274,32301.91084369781,15779.62614305897
275,8173.044082568532,8235.007014386285
276,89056.38116267638,153550.91782828272
277,452627.38586496894,455591.8250056132
278,21011.948308004743,19918.51044876152
279,185192.73890573645,206521.00650398628
280,32699.83135474764,9378.375133616628
281,14361.598143916759,24413.004493463577
282,63232.11633696164,33922.93225306861
283,89897.69035856043,165146.82847166163
284,113845.34177545775,159255.8326408318
285,14738.703717732682,16254.32239324062
286,26633.895728150525,22767.467040264793
287,164970.16947216558,37512.787537345466
288,265946.5058028813,100654.8468690696
289,65901.68999738518,28306.334293641285
290,168102.24383891784,399442.51558097266
291,567564.8243472237,123038.82623239951
292,22260.80902298755,22913.90419456463
293,130426.90616975774,28533.9215908305
294,25182.942985941678,54698.55010475818
295,15909.837670289016,2469.360040623709
296,34288.10943396876,24534.67226438327
297,284151.3364539513,178256.542657342
298,625413.9294449885,389437.01597578864
299,142060.62339371495,132041.29244971572
300,3550.9682984315573,5184.867694388695
301,23273.497773105846,43742.82854459743
302,47115.6868688257,31513.65421956119
303,58489.83567098187,31946.747924560364
304,611365.693924624,79460.3762833335
305,84037.92736675343,62251.926750507606
306,131597.98419856772,94484.45396824037
307,41691.26260676172,29999.848824420573
308,218559.68577187962,75421.04245243601
309,799.8442230463257,6585.03719476019
310,805843.0563425607,208787.65707284102
311,78242.62209021283,63626.597806850354
312,24381.772278484226,43781.64331645735
313,1965.6411646077413,5556.696447487073
314,137436.48685312158,96496.86410683075
315,446652.7089185831,574298.6921937714
316,46951.42752679204,32236.660045032808
317,582188.9495817169,628690.9523632949
318,28184.697888575643,8912.313987986108
319,56669.28541882253,89493.71768669631
320,368412.62682440464,101854.41388044786
321,194161.50100104036,111985.23637201275
322,35286.3224800889,15724.597993854191
323,1816156.9138570023,1116166.2975700698
324,16435.888266870308,30086.61615058684
325,15931.712464368744,51860.218772175926
326,450505.06893524784,23323.81433178555
327,370765.08476546995,178446.0188402224
328,2474.9840686871858,15374.616319579962
329,6994526.590647023,5044410.438945734
330,12230.438996851055,13966.14412777695
331,67724.87848925957,52933.51874515068
332,20707.441348646313,26462.80268290292
333,22905.551290238815,10058.9657276048
334,545.938935533431,3524.6839113817337
335,5151.903353703135,16907.854713152316
336,2526.048702777024,18972.648505334662
337,19094.065606415483,18252.027366264
338,41007.50857063567,22631.49421770543
