model,entry_window,edge_min,norm_min,sizing,n_trades,hit_rate,mean_edge,total_fees,total_pnl,median_lead_h,roi,final_bankroll,total_return,max_drawdown,mean_kelly_f,mean_wager
full_model,half_life,0.15,0.25,fixed,59,0.5254,0.1919,2.82,21.32,13.5,0.3614,,,,,
full_model,half_life,0.15,0.25,half_kelly,59,0.5254,0.1919,204.42,606.39,13.5,,706.39,6.0639,1282.73,0.3359,95.18
full_model,half_life,0.15,0.25,full_kelly,59,0.5254,0.1919,423.69,164.04,13.5,,264.04,1.6404,2888.32,0.3359,197.76
full_model,two_thirds_life,0.05,0.0,fixed,203,0.4581,0.1109,9.3,23.26,10.8,0.1146,,,,,
full_model,two_thirds_life,0.05,0.0,half_kelly,203,0.4581,0.1109,200.51,109.39,10.8,,209.39,1.0939,791.57,0.2165,29.68
full_model,two_thirds_life,0.05,0.0,full_kelly,203,0.4581,0.1109,89.13,-96.06,10.8,,3.94,-0.9606,324.69,0.2165,11.92
full_model,two_thirds_life,0.05,0.1,fixed,188,0.4255,0.1165,8.97,20.86,10.8,0.111,,,,,
full_model,two_thirds_life,0.05,0.1,half_kelly,188,0.4255,0.1165,148.47,51.42,10.8,,151.42,0.5142,563.56,0.2168,21.78
full_model,two_thirds_life,0.05,0.1,full_kelly,188,0.4255,0.1165,62.64,-98.1,10.8,,1.9,-0.981,285.31,0.2168,8.25
full_model,two_thirds_life,0.05,0.2,fixed,152,0.4079,0.1305,7.85,28.88,10.5,0.19,,,,,
full_model,two_thirds_life,0.05,0.2,half_kelly,152,0.4079,0.1305,404.31,487.61,10.5,,587.61,4.8761,1839.33,0.2214,70.82
full_model,two_thirds_life,0.05,0.2,full_kelly,152,0.4079,0.1305,358.68,-55.59,10.5,,44.41,-0.5559,1824.69,0.2214,62.75
full_model,two_thirds_life,0.05,0.25,fixed,130,0.3846,0.1366,7.02,27.08,10.2,0.2083,,,,,
full_model,two_thirds_life,0.05,0.25,half_kelly,130,0.3846,0.1366,376.24,620.76,10.2,,720.76,6.2076,1786.33,0.2168,73.65
full_model,two_thirds_life,0.05,0.25,full_kelly,130,0.3846,0.1366,451.9,0.19,10.2,,100.19,0.0019,2559.7,0.2168,89.95
full_model,two_thirds_life,0.1,0.0,fixed,120,0.4667,0.1508,5.65,22.06,10.4,0.1839,,,,,
full_model,two_thirds_life,0.1,0.0,half_kelly,120,0.4667,0.1508,178.67,199.01,10.4,,299.01,1.9901,848.14,0.2776,41.49
full_model,two_thirds_life,0.1,0.0,full_kelly,120,0.4667,0.1508,89.91,-87.35,10.4,,12.65,-0.8735,424.48,0.2776,19.88
full_model,two_thirds_life,0.1,0.1,fixed,120,0.4667,0.1508,5.65,22.06,10.4,0.1839,,,,,
full_model,two_thirds_life,0.1,0.1,half_kelly,120,0.4667,0.1508,178.67,199.01,10.4,,299.01,1.9901,848.14,0.2776,41.49
full_model,two_thirds_life,0.1,0.1,full_kelly,120,0.4667,0.1508,89.91,-87.35,10.4,,12.65,-0.8735,424.48,0.2776,19.88
full_model,two_thirds_life,0.1,0.2,fixed,111,0.4595,0.1565,5.42,24.73,10.2,0.2228,,,,,
full_model,two_thirds_life,0.1,0.2,half_kelly,111,0.4595,0.1565,260.92,347.99,10.2,,447.99,3.4799,1302.67,0.2739,64.35
full_model,two_thirds_life,0.1,0.2,full_kelly,111,0.4595,0.1565,205.47,-67.88,10.2,,32.12,-0.6788,1133.96,0.2739,50.08
full_model,two_thirds_life,0.1,0.25,fixed,97,0.4433,0.1613,4.99,25.86,10.2,0.2666,,,,,
full_model,two_thirds_life,0.1,0.25,half_kelly,97,0.4433,0.1613,311.45,603.57,10.2,,703.57,6.0357,1611.68,0.2628,83.95
full_model,two_thirds_life,0.1,0.25,full_kelly,97,0.4433,0.1613,422.3,18.01,10.2,,118.01,0.1801,2605.19,0.2628,115.22
full_model,two_thirds_life,0.15,0.0,fixed,59,0.5085,0.1965,2.81,19.95,8.8,0.3381,,,,,
full_model,two_thirds_life,0.15,0.0,half_kelly,59,0.5085,0.1965,206.18,409.12,8.8,,509.12,4.0912,1376.84,0.3473,96.93
full_model,two_thirds_life,0.15,0.0,full_kelly,59,0.5085,0.1965,338.4,-1.09,8.8,,98.91,-0.0109,2242.01,0.3473,158.02
full_model,two_thirds_life,0.15,0.1,fixed,59,0.5085,0.1965,2.81,19.95,8.8,0.3381,,,,,
full_model,two_thirds_life,0.15,0.1,half_kelly,59,0.5085,0.1965,206.18,409.12,8.8,,509.12,4.0912,1376.84,0.3473,96.93
full_model,two_thirds_life,0.15,0.1,full_kelly,59,0.5085,0.1965,338.4,-1.09,8.8,,98.91,-0.0109,2242.01,0.3473,158.02
full_model,two_thirds_life,0.15,0.2,fixed,59,0.5085,0.1965,2.81,19.95,8.8,0.3381,,,,,
full_model,two_thirds_life,0.15,0.2,half_kelly,59,0.5085,0.1965,206.18,409.12,8.8,,509.12,4.0912,1376.84,0.3473,96.93
full_model,two_thirds_life,0.15,0.2,full_kelly,59,0.5085,0.1965,338.4,-1.09,8.8,,98.91,-0.0109,2242.01,0.3473,158.02
full_model,two_thirds_life,0.15,0.25,fixed,55,0.4909,0.2002,2.7,19.78,9.0,0.3596,,,,,
full_model,two_thirds_life,0.15,0.25,half_kelly,55,0.4909,0.2002,159.09,399.29,9.0,,499.29,3.9929,918.84,0.3382,76.68
full_model,two_thirds_life,0.15,0.25,full_kelly,55,0.4909,0.2002,216.29,6.45,9.0,,106.45,0.0645,1228.36,0.3382,103.62
