feature,coefficient,abs_coef,block
away_p3_m_ewma_pre,-0.013505033306770843,0.013505033306770843,player
home_p4_q_pre,-0.013500085754059378,0.013500085754059378,player
home_p3_consec_dnps_pre,0.013407117537261603,0.013407117537261603,player
home_p5_days_since_first_report_pre,0.012519314108454402,0.012519314108454402,player
away_ftr_ewma_pre,0.012187535848988745,0.012187535848988745,form
home_p6_minutes_last_game_pre,0.011759495026334745,0.011759495026334745,player
home_p2_days_since_first_report_pre,0.010004240009620073,0.010004240009620073,player
home_p6_days_since_first_report_pre,0.00977496193941197,0.00977496193941197,player
home_p3_minutes_last_game_pre,-0.009495970704487504,0.009495970704487504,player
away_p5_minutes_last_game_pre,0.009384030055405727,0.009384030055405727,player
away_p2_days_since_first_report_pre,-0.009229967280174271,0.009229967280174271,player
away_p1_days_since_last_dnp_pre,0.00888092995682078,0.00888092995682078,player
away_p7_days_since_first_report_pre,0.008825394387182876,0.008825394387182876,player
away_p4_minutes_last_game_pre,0.008572141216065872,0.008572141216065872,player
away_orb_pct_ewma_pre,-0.008415191821881118,0.008415191821881118,form
home_p1_minutes_last_game_pre,0.0071942135175014025,0.0071942135175014025,player
away_p7_minutes_last_game_pre,0.007038888750282646,0.007038888750282646,player
home_p6_m_ewma_pre,-0.0068131624663149495,0.0068131624663149495,player
away_p6_days_since_first_report_pre,-0.0065495646570194995,0.0065495646570194995,player
home_p5_days_since_last_played_pre,-0.0064228923437473755,0.0064228923437473755,player
away_p5_days_since_first_report_pre,0.006256396960234797,0.006256396960234797,player
home_p2_minutes_last_game_pre,0.006149597942548322,0.006149597942548322,player
home_p1_days_since_first_report_pre,-0.005631903500522931,0.005631903500522931,player
home_p4_minutes_last_game_pre,0.005320513764504638,0.005320513764504638,player
home_p5_m_ewma_pre,0.0052134828666568584,0.0052134828666568584,player
home_ftr_ewma_pre,-0.005030122014370333,0.005030122014370333,form
home_p7_minutes_last_game_pre,0.004699382467480852,0.004699382467480852,player
away_p6_minutes_last_game_pre,0.004567380932897243,0.004567380932897243,player
home_off_tov_pct_pre,0.004221331215014535,0.004221331215014535,form
home_off_3pa_rate_pre,-0.003997227815506476,0.003997227815506476,style
away_p2_m_ewma_pre,0.003983657203127389,0.003983657203127389,player
home_p5_minutes_last_game_pre,-0.003941563975196297,0.003941563975196297,player
away_p3_minutes_last_game_pre,0.003549057820532932,0.003549057820532932,player
away_p6_days_since_last_played_pre,0.0033129503294912327,0.0033129503294912327,player
away_p1_days_since_first_report_pre,-0.003151534776943568,0.003151534776943568,player
home_net_rtg_ewma_pre,0.003049069597274148,0.003049069597274148,form
away_p2_minutes_last_game_pre,-0.00271629713572802,0.00271629713572802,player
away_p7_injury_present_flag_pre,-0.002466120920740472,0.002466120920740472,player
away_p5_m_ewma_pre,0.002134023416490616,0.002134023416490616,player
home_p7_days_since_last_played_pre,0.0018417615402033679,0.0018417615402033679,player
home_orb_pct_ewma_pre,-0.001567065657996624,0.001567065657996624,form
home_tov_pct_ewma_pre,0.0011235256733663527,0.0011235256733663527,form
home_p4_days_since_last_played_pre,0.0004931798372809595,0.0004931798372809595,player
away_tov_pct_ewma_pre,0.0004891538431507101,0.0004891538431507101,form
away_travel_miles_pre,6.985964987334527e-05,6.985964987334527e-05,schedule
home_travel_miles_pre,-7.571832327376601e-06,7.571832327376601e-06,schedule
