market_ticker,event_ticker,yes_sub_title,status,result,settlement_value_dollars,settlement_ts,close_time,expiration_value
KXWNBAGAME-25AUG08WSHMIN-WSH,KXWNBAGAME-25AUG08WSHMIN,Washington,finalized,no,0.0,2025-08-09 01:59:38.649816+00:00,2025-08-09 01:54:38.655539+00:00,Minnesota
KXWNBAGAME-25AUG09CHIIND-CHI,KXWNBAGAME-25AUG09CHIIND,Chicago,finalized,no,0.0,2025-08-10 02:11:49.649465+00:00,2025-08-10 02:06:48.950689+00:00,Indiana
KXWNBAGAME-25AUG09CHIIND-IND,KXWNBAGAME-25AUG09CHIIND,Indiana,finalized,yes,1.0,2025-08-10 02:11:49.649465+00:00,2025-08-10 02:06:48.950689+00:00,Indiana
KXWNBAGAME-25AUG09LAGS-GS,KXWNBAGAME-25AUG09LAGS,Golden State,finalized,yes,1.0,2025-08-10 02:46:20.650052+00:00,2025-08-10 02:41:19.888975+00:00,Golden State
KXWNBAGAME-25AUG09LAGS-LA,KXWNBAGAME-25AUG09LAGS,Los Angeles,finalized,no,0.0,2025-08-10 02:46:20.650052+00:00,2025-08-10 02:41:19.888975+00:00,Golden State
KXWNBAGAME-25AUG10ATLPHX-ATL,KXWNBAGAME-25AUG10ATLPHX,Atlanta,finalized,yes,1.0,2025-08-11 00:29:49.740053+00:00,2025-08-11 00:24:48.548380+00:00,Atlanta
KXWNBAGAME-25AUG10ATLPHX-PHX,KXWNBAGAME-25AUG10ATLPHX,Phoenix,finalized,no,0.0,2025-08-11 00:29:49.740053+00:00,2025-08-11 00:24:48.548380+00:00,Atlanta
KXWNBAGAME-25AUG10CONNLV-CONN,KXWNBAGAME-25AUG10CONNLV,Connecticut,finalized,no,0.0,2025-08-11 03:16:06.740377+00:00,2025-08-11 03:11:06.423373+00:00,Las Vegas
KXWNBAGAME-25AUG10CONNLV-LV,KXWNBAGAME-25AUG10CONNLV,Las Vegas,finalized,yes,1.0,2025-08-11 03:16:06.740377+00:00,2025-08-11 03:11:06.423373+00:00,Las Vegas
KXWNBAGAME-25AUG10MINNY-MIN,KXWNBAGAME-25AUG10MINNY,Minnesota,finalized,yes,1.0,2025-08-10 18:46:23.669648+00:00,2025-08-10 18:41:23.336589+00:00,Minnesota
KXWNBAGAME-25AUG10MINNY-NY,KXWNBAGAME-25AUG10MINNY,New York,finalized,no,0.0,2025-08-10 18:46:23.669648+00:00,2025-08-10 18:41:23.336589+00:00,Minnesota
KXWNBAGAME-25AUG10SEALA-LA,KXWNBAGAME-25AUG10SEALA,Los Angeles,finalized,yes,1.0,2025-08-11 02:16:16.740061+00:00,2025-08-11 02:11:16.588197+00:00,Los Angeles
KXWNBAGAME-25AUG10SEALA-SEA,KXWNBAGAME-25AUG10SEALA,Seattle,finalized,no,0.0,2025-08-11 02:16:16.740061+00:00,2025-08-11 02:11:16.588197+00:00,Los Angeles
KXWNBAGAME-25AUG10WSHDAL-DAL,KXWNBAGAME-25AUG10WSHDAL,Dallas,finalized,no,0.0,2025-08-10 22:26:08.250170+00:00,2025-08-10 22:21:08.452291+00:00,Washington
KXWNBAGAME-25AUG10WSHDAL-WSH,KXWNBAGAME-25AUG10WSHDAL,Washington,finalized,yes,1.0,2025-08-10 22:26:08.250170+00:00,2025-08-10 22:21:08.452291+00:00,Washington
KXWNBAGAME-25AUG11CONNGS-CONN,KXWNBAGAME-25AUG11CONNGS,Connecticut,finalized,no,0.0,2025-08-12 04:18:44.939718+00:00,2025-08-12 04:13:44.316870+00:00,Golden State
KXWNBAGAME-25AUG11CONNGS-GS,KXWNBAGAME-25AUG11CONNGS,Golden State,finalized,yes,1.0,2025-08-12 04:18:44.939718+00:00,2025-08-12 04:13:44.316870+00:00,Golden State
KXWNBAGAME-25AUG12DALIND-DAL,KXWNBAGAME-25AUG12DALIND,Dallas,finalized,yes,1.0,2025-08-13 02:08:50.939851+00:00,2025-08-13 02:03:50.213676+00:00,Dallas
KXWNBAGAME-25AUG12DALIND-IND,KXWNBAGAME-25AUG12DALIND,Indiana,finalized,no,0.0,2025-08-13 02:08:50.939851+00:00,2025-08-13 02:03:50.213676+00:00,Dallas
KXWNBAGAME-25AUG12NYLA-LA,KXWNBAGAME-25AUG12NYLA,Los Angeles,finalized,no,0.0,2025-08-13 04:16:42.940098+00:00,2025-08-13 04:11:42.085929+00:00,New York
KXWNBAGAME-25AUG12NYLA-NY,KXWNBAGAME-25AUG12NYLA,New York,finalized,yes,1.0,2025-08-13 04:16:42.940098+00:00,2025-08-13 04:11:42.085929+00:00,New York
KXWNBAGAME-25AUG13ATLSEA-ATL,KXWNBAGAME-25AUG13ATLSEA,Atlanta,finalized,yes,1.0,2025-08-14 04:29:56.940583+00:00,2025-08-14 04:24:56.058836+00:00,Atlanta
KXWNBAGAME-25AUG13ATLSEA-SEA,KXWNBAGAME-25AUG13ATLSEA,Seattle,finalized,no,0.0,2025-08-14 04:29:56.940583+00:00,2025-08-14 04:24:56.058836+00:00,Atlanta
KXWNBAGAME-25AUG13CHICONN-CHI,KXWNBAGAME-25AUG13CHICONN,Chicago,finalized,no,0.0,2025-08-14 01:43:08.150042+00:00,2025-08-14 01:38:07.045679+00:00,Connecticut
KXWNBAGAME-25AUG13CHICONN-CONN,KXWNBAGAME-25AUG13CHICONN,Connecticut,finalized,yes,1.0,2025-08-14 01:43:08.150042+00:00,2025-08-14 01:38:07.045679+00:00,Connecticut
KXWNBAGAME-25AUG13GSWSH-GS,KXWNBAGAME-25AUG13GSWSH,Golden State,finalized,yes,1.0,2025-08-14 02:03:23.950882+00:00,2025-08-14 01:58:23.702739+00:00,Golden State
KXWNBAGAME-25AUG13GSWSH-WSH,KXWNBAGAME-25AUG13GSWSH,Washington,finalized,no,0.0,2025-08-14 02:03:23.950882+00:00,2025-08-14 01:58:23.702739+00:00,Golden State
KXWNBAGAME-25AUG13NYLV-LV,KXWNBAGAME-25AUG13NYLV,Las Vegas,finalized,yes,1.0,2025-08-14 04:13:00.940165+00:00,2025-08-14 04:08:00.685279+00:00,Las Vegas
KXWNBAGAME-25AUG13NYLV-NY,KXWNBAGAME-25AUG13NYLV,New York,finalized,no,0.0,2025-08-14 04:13:00.940165+00:00,2025-08-14 04:08:00.685279+00:00,Las Vegas
KXWNBAGAME-25AUG15GSCHI-CHI,KXWNBAGAME-25AUG15GSCHI,Chicago,finalized,no,0.0,2025-08-16 02:02:08.217518+00:00,2025-08-16 01:57:08.053026+00:00,Golden State
KXWNBAGAME-25AUG15GSCHI-GS,KXWNBAGAME-25AUG15GSCHI,Golden State,finalized,yes,1.0,2025-08-16 02:02:08.217518+00:00,2025-08-16 01:57:08.053026+00:00,Golden State
KXWNBAGAME-25AUG15LADAL-DAL,KXWNBAGAME-25AUG15LADAL,Dallas,finalized,no,0.0,2025-08-16 02:22:48.217460+00:00,2025-08-16 02:17:47.272312+00:00,Los Angeles
KXWNBAGAME-25AUG15LADAL-LA,KXWNBAGAME-25AUG15LADAL,Los Angeles,finalized,yes,1.0,2025-08-16 02:22:48.217460+00:00,2025-08-16 02:17:47.272312+00:00,Los Angeles
KXWNBAGAME-25AUG15LVPHX-LV,KXWNBAGAME-25AUG15LVPHX,Las Vegas,finalized,yes,1.0,2025-08-16 04:28:27.217012+00:00,2025-08-16 04:23:27.552483+00:00,Las Vegas
KXWNBAGAME-25AUG15LVPHX-PHX,KXWNBAGAME-25AUG15LVPHX,Phoenix,finalized,no,0.0,2025-08-16 04:28:27.217012+00:00,2025-08-16 04:23:27.552483+00:00,Las Vegas
KXWNBAGAME-25AUG15SEAATL-ATL,KXWNBAGAME-25AUG15SEAATL,Atlanta,finalized,no,0.0,2025-08-16 04:36:51.237992+00:00,2025-08-16 04:31:51.761800+00:00,Seattle
KXWNBAGAME-25AUG15SEAATL-SEA,KXWNBAGAME-25AUG15SEAATL,Seattle,finalized,yes,1.0,2025-08-16 04:36:51.237992+00:00,2025-08-16 04:31:51.761800+00:00,Seattle
KXWNBAGAME-25AUG15WSHIND-IND,KXWNBAGAME-25AUG15WSHIND,Indiana,finalized,no,0.0,2025-08-16 02:22:45.216949+00:00,2025-08-16 02:17:45.507937+00:00,Washington
KXWNBAGAME-25AUG15WSHIND-WSH,KXWNBAGAME-25AUG15WSHIND,Washington,finalized,yes,1.0,2025-08-16 02:22:45.216949+00:00,2025-08-16 02:17:45.507937+00:00,Washington
KXWNBAGAME-25AUG16NYMIN-MIN,KXWNBAGAME-25AUG16NYMIN,Minnesota,finalized,yes,1.0,2025-08-16 20:36:39.217371+00:00,2025-08-16 20:31:39.672021+00:00,Minnesota
KXWNBAGAME-25AUG16NYMIN-NY,KXWNBAGAME-25AUG16NYMIN,New York,finalized,no,0.0,2025-08-16 20:36:39.217371+00:00,2025-08-16 20:31:39.672021+00:00,Minnesota
KXWNBAGAME-25AUG17ATLGS-ATL,KXWNBAGAME-25AUG17ATLGS,Atlanta,finalized,yes,1.0,2025-08-18 02:53:36.827343+00:00,2025-08-18 02:48:36.407058+00:00,Atlanta
KXWNBAGAME-25AUG17ATLGS-GS,KXWNBAGAME-25AUG17ATLGS,Golden State,finalized,no,0.0,2025-08-18 02:53:36.827343+00:00,2025-08-18 02:48:36.407058+00:00,Atlanta
KXWNBAGAME-25AUG17DALLV-DAL,KXWNBAGAME-25AUG17DALLV,Dallas,finalized,no,0.0,2025-08-17 21:47:52.206961+00:00,2025-08-17 21:42:52.742447+00:00,Las Vegas
KXWNBAGAME-25AUG17DALLV-LV,KXWNBAGAME-25AUG17DALLV,Las Vegas,finalized,yes,1.0,2025-08-17 21:47:52.206961+00:00,2025-08-17 21:42:52.742447+00:00,Las Vegas
KXWNBAGAME-25AUG17INDCONN-CONN,KXWNBAGAME-25AUG17INDCONN,Connecticut,finalized,no,0.0,2025-08-17 20:03:46.217072+00:00,2025-08-17 19:58:46.520528+00:00,Indiana
KXWNBAGAME-25AUG17INDCONN-IND,KXWNBAGAME-25AUG17INDCONN,Indiana,finalized,yes,1.0,2025-08-17 20:03:46.217072+00:00,2025-08-17 19:58:46.520528+00:00,Indiana
KXWNBAGAME-25AUG17LAWSH-LA,KXWNBAGAME-25AUG17LAWSH,Los Angeles,finalized,no,0.0,2025-08-17 21:19:44.217256+00:00,2025-08-17 21:14:44.470708+00:00,Washington
KXWNBAGAME-25AUG17LAWSH-WSH,KXWNBAGAME-25AUG17LAWSH,Washington,finalized,yes,1.0,2025-08-17 21:19:44.217256+00:00,2025-08-17 21:14:44.470708+00:00,Washington
KXWNBAGAME-25AUG17PHXSEA-PHX,KXWNBAGAME-25AUG17PHXSEA,Phoenix,finalized,yes,1.0,2025-08-18 01:59:06.017832+00:00,2025-08-18 00:21:44.042495+00:00,Phoenix
KXWNBAGAME-25AUG17PHXSEA-SEA,KXWNBAGAME-25AUG17PHXSEA,Seattle,finalized,no,0.0,2025-08-18 01:59:06.017832+00:00,2025-08-18 00:21:44.042495+00:00,Phoenix
KXWNBAGAME-25AUG19ATLLV-ATL,KXWNBAGAME-25AUG19ATLLV,Atlanta,finalized,no,0.0,2025-08-20 04:36:32.812257+00:00,2025-08-20 04:31:32.634196+00:00,Las Vegas
KXWNBAGAME-25AUG19ATLLV-LV,KXWNBAGAME-25AUG19ATLLV,Las Vegas,finalized,yes,1.0,2025-08-20 04:36:32.812257+00:00,2025-08-20 04:31:32.634196+00:00,Las Vegas
KXWNBAGAME-25AUG19CONNWSH-CONN,KXWNBAGAME-25AUG19CONNWSH,Connecticut,finalized,yes,1.0,2025-08-20 02:04:07.812282+00:00,2025-08-20 01:59:07.335065+00:00,Connecticut
KXWNBAGAME-25AUG19CONNWSH-WSH,KXWNBAGAME-25AUG19CONNWSH,Washington,finalized,no,0.0,2025-08-20 02:04:07.812282+00:00,2025-08-20 01:59:07.335065+00:00,Connecticut
KXWNBAGAME-25AUG19MINNY-MIN,KXWNBAGAME-25AUG19MINNY,Minnesota,finalized,no,0.0,2025-08-20 01:47:33.812268+00:00,2025-08-20 01:42:33.569425+00:00,New York
KXWNBAGAME-25AUG19MINNY-NY,KXWNBAGAME-25AUG19MINNY,New York,finalized,yes,1.0,2025-08-20 01:47:33.812268+00:00,2025-08-20 01:42:33.569425+00:00,New York
KXWNBAGAME-25AUG19PHXGS-GS,KXWNBAGAME-25AUG19PHXGS,Golden State,finalized,no,0.0,2025-08-20 04:25:55.811749+00:00,2025-08-20 04:20:55.441893+00:00,Phoenix
KXWNBAGAME-25AUG19PHXGS-PHX,KXWNBAGAME-25AUG19PHXGS,Phoenix,finalized,yes,1.0,2025-08-20 04:25:55.811749+00:00,2025-08-20 04:20:55.441893+00:00,Phoenix
KXWNBAGAME-25AUG19SEACHI-CHI,KXWNBAGAME-25AUG19SEACHI,Chicago,finalized,no,0.0,2025-08-20 02:38:30.822220+00:00,2025-08-20 02:33:30.347494+00:00,Seattle
KXWNBAGAME-25AUG19SEACHI-SEA,KXWNBAGAME-25AUG19SEACHI,Seattle,finalized,yes,1.0,2025-08-20 02:38:30.822220+00:00,2025-08-20 02:33:30.347494+00:00,Seattle
KXWNBAGAME-25AUG20DALLA-DAL,KXWNBAGAME-25AUG20DALLA,Dallas,finalized,no,0.0,2025-08-21 04:20:11.821062+00:00,2025-08-21 04:15:11.766094+00:00,Los Angeles
KXWNBAGAME-25AUG20DALLA-LA,KXWNBAGAME-25AUG20DALLA,Los Angeles,finalized,yes,1.0,2025-08-21 04:20:11.821062+00:00,2025-08-21 04:15:11.766094+00:00,Los Angeles
KXWNBAGAME-25AUG21CHINY-CHI,KXWNBAGAME-25AUG21CHINY,Chicago,finalized,yes,1.0,2025-08-22 01:22:23.103486+00:00,2025-08-22 01:17:22.863988+00:00,Chicago
KXWNBAGAME-25AUG21CHINY-NY,KXWNBAGAME-25AUG21CHINY,New York,finalized,no,0.0,2025-08-22 01:22:23.103486+00:00,2025-08-22 01:17:22.863988+00:00,Chicago
KXWNBAGAME-25AUG21MINATL-ATL,KXWNBAGAME-25AUG21MINATL,Atlanta,finalized,yes,1.0,2025-08-22 01:58:05.094436+00:00,2025-08-22 01:53:05.871033+00:00,Atlanta
KXWNBAGAME-25AUG21MINATL-MIN,KXWNBAGAME-25AUG21MINATL,Minnesota,finalized,no,0.0,2025-08-22 01:58:05.094436+00:00,2025-08-22 01:53:05.871033+00:00,Atlanta
KXWNBAGAME-25AUG21PHXLV-LV,KXWNBAGAME-25AUG21PHXLV,Las Vegas,finalized,yes,1.0,2025-08-22 04:01:56.093460+00:00,2025-08-22 03:56:55.288856+00:00,Las Vegas
KXWNBAGAME-25AUG21PHXLV-PHX,KXWNBAGAME-25AUG21PHXLV,Phoenix,finalized,no,0.0,2025-08-22 04:01:56.093460+00:00,2025-08-22 03:56:55.288856+00:00,Las Vegas
KXWNBAGAME-25AUG21WSHCONN-CONN,KXWNBAGAME-25AUG21WSHCONN,Connecticut,finalized,yes,1.0,2025-08-22 01:19:44.093483+00:00,2025-08-22 01:14:43.728705+00:00,Connecticut
KXWNBAGAME-25AUG21WSHCONN-WSH,KXWNBAGAME-25AUG21WSHCONN,Washington,finalized,no,0.0,2025-08-22 01:19:44.093483+00:00,2025-08-22 01:14:43.728705+00:00,Connecticut
KXWNBAGAME-25AUG22GSPHX-GS,KXWNBAGAME-25AUG22GSPHX,Golden State,finalized,no,0.0,2025-08-23 04:14:55.705907+00:00,2025-08-23 04:09:55.811232+00:00,Phoenix
KXWNBAGAME-25AUG22GSPHX-PHX,KXWNBAGAME-25AUG22GSPHX,Phoenix,finalized,yes,1.0,2025-08-23 04:14:55.705907+00:00,2025-08-23 04:09:55.811232+00:00,Phoenix
KXWNBAGAME-25AUG22MININD-IND,KXWNBAGAME-25AUG22MININD,Indiana,finalized,no,0.0,2025-08-23 01:48:24.696148+00:00,2025-08-23 01:43:24.212724+00:00,Minnesota
KXWNBAGAME-25AUG22MININD-MIN,KXWNBAGAME-25AUG22MININD,Minnesota,finalized,yes,1.0,2025-08-23 01:48:24.696148+00:00,2025-08-23 01:43:24.212724+00:00,Minnesota
KXWNBAGAME-25AUG22SEADAL-DAL,KXWNBAGAME-25AUG22SEADAL,Dallas,finalized,no,0.0,2025-08-23 01:56:37.696254+00:00,2025-08-23 01:51:37.390439+00:00,Seattle
KXWNBAGAME-25AUG22SEADAL-SEA,KXWNBAGAME-25AUG22SEADAL,Seattle,finalized,yes,1.0,2025-08-23 01:56:37.696254+00:00,2025-08-23 01:51:37.390439+00:00,Seattle
KXWNBAGAME-25AUG23CONNCHI-CHI,KXWNBAGAME-25AUG23CONNCHI,Chicago,finalized,no,0.0,2025-08-23 23:13:45.694756+00:00,2025-08-23 23:08:45.356782+00:00,Connecticut
KXWNBAGAME-25AUG23CONNCHI-CONN,KXWNBAGAME-25AUG23CONNCHI,Connecticut,finalized,yes,1.0,2025-08-23 23:13:45.694756+00:00,2025-08-23 23:08:45.356782+00:00,Connecticut
KXWNBAGAME-25AUG23LVWSH-LV,KXWNBAGAME-25AUG23LVWSH,Las Vegas,finalized,yes,1.0,2025-08-23 22:27:12.695290+00:00,2025-08-23 22:22:09.690874+00:00,Las Vegas
KXWNBAGAME-25AUG23LVWSH-WSH,KXWNBAGAME-25AUG23LVWSH,Washington,finalized,no,0.0,2025-08-23 22:27:12.695290+00:00,2025-08-23 22:22:09.690874+00:00,Las Vegas
KXWNBAGAME-25AUG23NYATL-ATL,KXWNBAGAME-25AUG23NYATL,Atlanta,finalized,yes,1.0,2025-08-23 20:23:05.715280+00:00,2025-08-23 20:18:05.204531+00:00,Atlanta
KXWNBAGAME-25AUG23NYATL-NY,KXWNBAGAME-25AUG23NYATL,New York,finalized,no,0.0,2025-08-23 20:23:05.715280+00:00,2025-08-23 20:18:05.204531+00:00,Atlanta
KXWNBAGAME-25AUG24GSDAL-DAL,KXWNBAGAME-25AUG24GSDAL,Dallas,finalized,no,0.0,2025-08-24 23:19:27.695183+00:00,2025-08-24 23:14:27.047852+00:00,Golden State
